name,role,base_ovr,batting_ovr,bowling_ovr,is_overseas,age,batting_hand,bowling_hand,batting_archetype,bowling_phase,bowling_type,strengths,weaknesses
Jasprit Bumrah,Bowler (Fast),98,18,98,False,32,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,Unmatched death-over accuracy and yorker execution with elite economy across all phases,Economy can occasionally spike against very aggressive left-handers exploiting wide channels
Virat Kohli,Batsman,96,96,20,False,37,Right,Right,Anchor,Part-time,None,World-class T20 accumulator who builds innings with consistent strike rotation and gap-finding while scoring at 165+ SR,Occasionally cautious strike rate in powerplay compared with modern power-hitters
Heinrich Klaasen,Wicketkeeper,96,96,10,True,34,Right,None,Finisher,Part-time,None,Elite middle-order power-hitter with exceptional six-hitting ability and high strike rate against pace and spin,Can be vulnerable to quality wrist-spin in the early balls of an innings
Rashid Khan,Bowler (Spin),96,74,96,True,27,Right,Right,Lower-order Hitter,Middle Overs,Leg-spin,World-class leg-spin with googlies that trouble all batters plus genuine match-winning lower-order hitting,Can be targeted by premeditated sweeps from set left-handers
Nicholas Pooran,Wicketkeeper,95,95,15,True,30,Left,None,Finisher,Part-time,None,Explosive left-hand finisher with phenomenal six-hitting ability and match-winning 360-degree game,Can be dismissive when not set and vulnerable to accurate tight lines from right-arm pace
Suryakumar Yadav,Batsman,95,95,10,False,35,Right,Right,Middle-over Rotator,Part-time,None,360-degree unorthodox strokeplay with ability to score over all fielding positions at extraordinary strike rates,High-risk game brings more inconsistency than traditional players at the same level
Travis Head,Batsman,94,94,55,True,31,Left,Right,Aggressive Opener,Part-time,None,World Cup-winning aggressive opener who scores boundary at elite rates in powerplay and middle overs,Can be vulnerable early to quality swing and seam before eye is fully in
Shreyas Iyer,Batsman,94,94,15,False,31,Right,Right,Middle-over Rotator,Part-time,None,Technically strong middle-order player who dominates pace and builds innings in IPL consistently,Well-documented vulnerability to short-pitched fast bowling that can unsettle his technique
Shubman Gill,Batsman,94,94,10,False,24,Right,Right,Anchor,Part-time,None,Elegant stroke-maker who anchors top-order innings with excellent on-side play and tempo control,Boundary rate can be conservative in powerplay when team needs a fast start
Yashasvi Jaiswal,Batsman,93,93,35,False,23,Left,Right,Aggressive Opener,Part-time,None,Technically gifted left-hand opener with high six-hitting rate and ability to play attacking innings from ball one,Still building T20 consistency given strong Test-format pedigree
Sanju Samson,Wicketkeeper,93,93,10,False,31,Right,None,Aggressive Opener,Part-time,None,Flamboyant right-hand keeper-batter who can destroy attacks when set with exceptional boundary-hitting ability,Known for inconsistency and can perish to rash shots when pressure builds
Jos Buttler,Wicketkeeper,93,93,10,True,35,Right,None,Aggressive Opener,Part-time,None,Elite IPL opener with prolific run-scoring history and exceptional powerplay hitting and finishing ability,High-risk approach can lead to streaky form during poor spells
Hardik Pandya,All-Rounder,93,89,86,False,32,Right,Right,Finisher,Flexible,Right-arm Medium,Elite T20 all-rounder with match-winning batting in finishing roles and quality seam-bowling across phases,Bowling workload often limited by fitness management which caps his impact
Sunil Narine,Bowler (Spin),93,78,92,True,37,Left,Right,Aggressive Opener,Middle Overs,Mystery Spin,Elite opening batter with aggressive IPL record plus economical mystery spin that stifles run-scoring,Batting technique can be exposed by high-quality spin bowling especially in pressure situations
Pat Cummins,All-Rounder,93,76,92,True,32,Right,Right,Lower-order Hitter,Flexible,Right-arm Fast,World-class pace bowler who contributes useful lower-order runs and leads teams effectively under pressure,Batting limited to short cameos and not a reliable finisher in close chases
Kuldeep Yadav,Bowler (Spin),93,22,93,False,31,Left,Left,Defensive Tailender,Middle Overs,Left-arm Wrist Spin,Elite left-arm wrist-spinner with huge turn and variation who is India's most dangerous middle-over spinner,Very limited batting means he is a passenger at number eight or nine
Rohit Sharma,Batsman,92,92,25,False,39,Right,Right,Aggressive Opener,Part-time,None,IPL's all-time leading run-scorer with exceptional powerplay hitting and ability to accelerate at will,At 39 form has slightly declined from peak and footwork against quality spin can be a matchup
Ruturaj Gaikwad,Batsman,92,92,10,False,29,Right,Right,Anchor,Part-time,None,Technically excellent right-hand opener who accumulates runs consistently with excellent strike rotation,Strike rate can be conservative by modern IPL standards in slog overs
Axar Patel,All-Rounder,92,82,89,False,32,Left,Left,Middle-over Rotator,Middle Overs,Left-arm Orthodox,Reliable left-arm orthodox spinner and aggressive left-hand batter who contributes strongly in both departments,Not a death-over bowling option and can be attacked by right-hand batters using the sweep
Ravindra Jadeja,All-Rounder,92,81,91,False,37,Left,Left,Finisher,Middle Overs,Left-arm Orthodox,Complete all-rounder whose fielding is elite while contributing left-arm spin and clean left-hand hitting,Batting is situation-dependent and he is rarely given full innings to accelerate properly
Sai Sudharsan,Batsman,91,91,10,False,23,Left,None,Anchor,Part-time,None,Compact left-hand batsman with outstanding consistency across IPL seasons and proven ability to anchor innings,Still developing the power game needed to score at 180 in the final five overs
KL Rahul,Wicketkeeper,91,91,10,False,34,Right,None,Anchor,Part-time,None,Technically excellent keeper-batter who has compiled prolific IPL runs through consistent anchoring,Strike rate in middle overs can be too conservative for teams needing quick acceleration
